Day_of_Week_and_Hour,cluster,Lat,Lon,Day_of_Month,Week_Number,Hour,nb_pickups
Thursday_8_hrs,0,40.752766666666666,-73.97651666666667,8.833333333333334,14.833333333333334,8.0,6
Thursday_8_hrs,10,40.769016666666666,-73.98631666666667,18.166666666666668,16.166666666666668,8.0,6
Thursday_8_hrs,19,40.71675,-74.00451666666667,8.833333333333334,14.833333333333334,8.0,6
Thursday_8_hrs,7,40.71957777777778,-73.94714444444445,11.555555555555555,15.222222222222221,8.0,9
Thursday_8_hrs,1,40.72717333333333,-73.99179333333333,16.533333333333335,15.933333333333334,8.0,15
Thursday_8_hrs,13,40.77766,-73.95774,18.4,16.2,8.0,15
Thursday_8_hrs,6,40.7722,-73.86916666666667,10.0,15.0,8.0,3
Thursday_9_hrs,20,40.686800000000005,-73.9356,3.0,14.0,9.0,2
Thursday_9_hrs,9,40.7435,-73.99782,7.2,14.6,9.0,5
Thursday_9_hrs,7,40.72005,-73.9603,10.0,15.0,9.0,2
Thursday_9_hrs,10,40.767,-73.98286666666667,5.333333333333333,14.333333333333334,9.0,3
Thursday_9_hrs,0,40.75702222222222,-73.97160000000001,14.666666666666666,15.666666666666666,9.0,9
Thursday_9_hrs,13,40.77697777777777,-73.9620888888889,11.555555555555555,15.222222222222221,9.0,9
